№,Номенклатура,Номенклатура.Код,Ед.изм,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026
349,"K036 Роз. с з/к 16А с/у з/ш ""ATLAS"" ШАМПАНЬ ATN544 (10)",300200555_,шт,111,97,35,106,398,312,279,355,351,310,310,310,319,308,306,216,213,210,206,175,175,172,162,162,127,125,125,122,98,67,35,55,44
350,"K037 ТV роз. оконечная с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN591(10)",300200556_,шт,4,9,55,50,139,120,107,106,52,86,81,88,94,93,84,121,94,94,88,84,84,83,74,73,69,69,69,69,67,66,63,57,52
351,"K038 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" ШАМПАНЬ ATN581 (10)",300200557_,шт,48,48,48,48,48,43,43,52,51,49,49,49,47,47,47,46,38,38,32,32,31,29,23,17,11,11,11,11,9,8,8,8,8
352,"K039 Рамка 1-ная ""ATLAS"" ШАМПАНЬ ATN501 (10)",300200558_,шт,594,490,1008,796,2585,2054,1004,908,1376,1635,1328,1784,2156,2137,2079,2113,3667,3172,3017,2235,2358,2347,2050,2334,1863,1706,1544,1363,1444,1178,719,1115,757
353,"K040 Рамка 2-ная ""ATLAS"" ШАМПАНЬ ATN502 (10)",300200559_,шт,646,537,501,316,1580,1190,796,1016,667,664,776,1041,1194,1057,1287,1304,2114,1907,1786,1569,1399,1177,927,1048,822,776,659,648,548,546,398,585,350
354,"K041 Рамка 3-ная ""ATLAS"" ШАМПАНЬ ATN503 (15)",300200560_,шт,101,53,224,154,584,418,237,459,311,351,379,523,575,570,550,1105,940,878,795,705,640,541,465,403,324,317,316,291,230,222,191,153,151
355,"K042 Рамка 4-ная ""ATLAS"" ШАМПАНЬ ATN504 (15)",300200561_,шт,8,1,160,109,319,254,199,281,195,184,193,189,241,211,274,440,283,288,256,308,295,241,212,241,211,209,190,183,157,133,109,84,87
356,"K043 Рамка 5-ная ""ATLAS"" ШАМПАНЬ ATN505 (5)",300200562_,шт,11,11,37,27,88,71,51,182,153,124,102,91,5,103,103,170,167,139,134,127,119,114,112,106,91,91,90,90,90,86,85,87,77
357,"K044 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN565 (10)",300200563_,шт,75,46,357,310,431,363,307,361,242,206,205,190,217,222,186,364,206,168,248,276,227,198,168,179,171,167,145,133,128,99,77,63,71
358,"K045 Роз. с з/к 16А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN743 (10)",300200564_,шт,518,379,1049,841,2764,2279,2126,1980,1810,1674,1497,1234,995,924,891,1517,1509,1329,1044,882,795,615,620,610,540,472,245,433,446,433,413,326,262
359,"K046 Выкл 1 кл 10А с/у ""ATLAS"" ГРИФЕЛЬ ATN712 (10)",300200565_,шт,,,232,207,355,301,319,301,277,288,258,232,198,189,183,198,198,180,165,164,162,158,141,127,118,106,85,74,70,43,37,34,3
360,"K0461 Выкл. 1-кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN711 (10) NEW",300200590_,шт,2,1,1,1,1,311,293,291,279,218,197,126,146,130,97,195,194,175,171,153,136,91,114,97,78,42,38,23,62,72,61,121,103
361,"K047 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN713 (10)",300200566_,шт,5,4,50,22,80,77,75,71,67,71,67,67,87,87,87,86,76,76,76,76,75,75,75,75,75,75,75,75,75,75,75,75,75
362,"K048 Выкл 2 кл 10А с/у ""ATLAS"" ГРИФЕЛЬ ATN752 (10)",300200567_,шт,22,3,28,14,269,249,243,234,230,225,198,186,184,177,177,170,160,157,148,148,148,140,132,122,118,118,118,110,109,104,104,91,88
363,"K0488 Выкл 2-кл 10А механизм ""ATLAS"" ГРИФЕЛЬ ATN751 (10)",300200591_,шт,31,16,84,74,172,147,138,157,135,138,107,90,82,80,71,109,108,102,94,76,59,32,40,58,58,45,22,38,27,37,33,43,41
364,"K049 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN753 (10)",300200568_,шт,28,17,17,15,65,55,35,29,34,51,57,57,67,67,67,66,66,66,66,66,66,66,66,66,65,65,65,65,65,65,65,68,68
365,"K050 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN731 (10)",300200569_,шт,2,2,12,2,32,29,27,60,59,54,49,46,52,52,52,51,51,50,49,49,49,49,49,45,41,41,40,40,37,37,37,43,43
366,"K051 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" ГРИФЕЛЬ ATN783 (10)",300200570_,шт,30,25,41,27,86,58,53,82,77,74,65,37,58,57,38,46,46,39,38,30,26,25,24,32,31,20,14,22,21,13,12,22,20
367,"K052 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN761 (10)",300200571_,шт,15,8,35,15,145,127,117,134,130,113,110,84,93,89,87,86,86,81,75,51,51,50,46,41,39,33,29,26,24,24,24,23,23
368,"K053 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" ГРИФЕЛЬ ATN763  (10)",300200572_,шт,4,4,4,4,4,4,4,,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8
369,"K054 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN771 (5)",300200573_,шт,55,50,50,40,30,28,26,41,40,39,39,39,63,63,63,62,62,62,62,61,61,60,60,60,61,61,54,54,54,54,54,54,53
370,"K055 Роз. 2-ная с/у 16А ""ATLAS"" ГРИФЕЛЬ ATN720 (6)",300200574_,шт,2,2,94,70,213,168,177,204,203,231,231,192,203,199,199,196,196,196,191,180,164,162,151,151,131,126,126,126,124,120,120,125,120
371,"K056 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" ГРИФЕЛЬ ATN726 (6)",300200575_,шт,53,32,79,79,207,207,207,206,190,188,124,95,51,90,63,58,148,148,147,147,145,133,115,115,113,113,101,74,56,53,48,48,48
372,"K057 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" ГРИФЕЛЬ ATN785 (10)",300200511_,шт,16,11,10,,20,18,18,32,10,20,20,9,46,46,46,45,45,24,24,24,24,24,24,12,12,12,13,12,12,12,12,12,8
373,"K058 Роз. с з/к 16А с/у з/ш ""ATLAS"" ГРИФЕЛЬ ATN744 (10)",300200576_,шт,80,64,244,227,438,415,385,375,355,369,351,321,319,315,235,232,232,210,208,208,207,207,198,167,166,160,158,110,109,105,95,95,65
374,"K0588 Роз. без з/к без з/ш б/рамки 16А ""ATLAS"" ГРИФЕЛЬ ATN741   (10) NEW",300200776_,шт,,,,,,220,217,221,220,185,187,78,124,114,114,163,163,163,163,163,161,157,157,157,153,153,153,153,152,149,149,159,154
375,"K059 ТV роз. оконечная с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN791 (10)",300200577_,шт,34,29,29,21,21,21,27,36,35,34,31,27,44,44,44,43,43,43,42,40,40,40,40,39,39,39,39,39,39,39,39,39,39
376,"K061 Рамка 1-ная ""ATLAS"" ГРИФЕЛЬ ATN701 (10)",300200579_,шт,298,203,362,299,1249,1064,1042,981,898,772,670,484,521,506,506,666,654,551,516,439,358,273,257,237,206,133,57,265,246,243,240,197,123
377,"K062 Рамка 2-ная ""ATLAS"" ГРИФЕЛЬ ATN702 (10)",300200580_,шт,252,236,339,295,640,497,477,532,494,453,405,342,311,293,284,343,340,307,280,240,227,197,183,155,116,79,31,67,103,103,80,83,80
378,"K063 Рамка 3-ная ""ATLAS"" ГРИФЕЛЬ ATN703 (15)",300200581_,шт,55,38,87,69,214,189,175,165,145,124,95,88,139,122,83,219,217,204,140,129,126,113,108,99,94,82,57,56,44,53,52,41,41
379,"K064 Рамка 4-ная ""ATLAS"" ГРИФЕЛЬ ATN704 (15)",300200582_,шт,13,12,21,9,79,64,81,118,116,83,71,53,94,89,89,86,86,74,72,67,62,53,52,43,38,25,12,23,21,20,19,24,23
380,"K065 Рамка 5-ная ""ATLAS"" ГРИФЕЛЬ ATN705 (5)",300200583_,шт,18,12,12,11,15,,8,59,53,42,41,34,49,49,49,48,48,46,46,46,46,43,43,42,37,37,36,34,33,32,30,41,41
381,"K066 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN765 (10)",300200584_,шт,61,45,44,33,91,82,78,99,97,101,98,80,101,101,100,95,95,91,91,86,86,81,81,73,73,73,71,62,55,55,54,62,59
382,"K067 Роз. с з/к 16А с/у б/рамки ""ATLAS"" КАРБОН ATN1043 (5)",300200343_,шт,2202,555,7,11810,27768,23168,16944,25764,21183,17358,14160,15686,19234,16295,14277,17826,25799,23870,21930,20161,17518,14890,13367,11665,9648,8422,6801,5683,5928,4219,3208,4302,3776
383,"K0677 Роз. без з/к без шторок, 16А, механизм ""ATLAS"" КАРБОН ATN1041 (10)",020100163_,шт,5,4,889,677,1791,1536,1023,1433,1173,1058,888,1174,1482,1358,1221,1572,1807,1786,1671,1555,1324,1278,1244,1187,1130,1099,1040,929,908,897,849,559,429
384,"K068 Выкл 1 кл 10А с/у ""ATLAS"" КАРБОН ATN1012 (5)",300200459_,шт,210,4,4,1315,2498,2057,1892,1831,1660,1490,1344,1227,1173,1088,920,1298,1224,1176,1093,879,782,627,566,489,396,381,313,322,350,227,258,279,293
385,"K0688 Выкл 1 кл 10А механизм ""ATLAS"" КАРБОН ATN1011 (5)",020100158_,шт,71,5,1086,575,3104,2480,1477,2834,2213,1732,2015,2278,3153,2689,2301,2959,3989,3659,3218,2926,2450,2072,1864,1493,1253,1074,1137,928,1174,844,636,533,536
386,"K069 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН - ATN1013",020100159_,шт,12,8,59,9,362,321,315,365,331,297,299,274,265,247,97,260,221,207,173,159,156,146,140,145,123,123,123,119,119,148,139,143,143
387,"K070 Выкл 2 кл 10А с/у ""ATLAS"" КАРБОН ATN1052 (5)",300200460_,шт,1186,986,887,777,2092,1882,1759,1579,1433,1345,1288,1200,1197,1107,977,924,884,834,711,637,594,433,391,339,273,268,203,217,253,220,195,168,182
388,"K0700 Выкл 2 кл 10А механизм ""ATLAS"" КАРБОН ATN1051 (5)",020100160_,шт,6,6,6,408,1566,1096,329,1405,1275,1369,1346,1528,2275,1970,1719,2181,3107,2924,2631,2487,2126,1894,1709,1533,1274,1134,989,833,763,560,451,363,417
389,"K071 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН  - ATN1053",020100161_,шт,44,9,3,32,302,279,249,281,276,250,257,212,215,202,172,166,128,126,114,80,80,73,73,73,58,58,58,57,57,57,51,57,47
390,"K072 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" КАРБОН  ATN1031",300200461_,шт,,,174,310,304,266,231,239,167,73,89,194,255,224,189,328,297,267,240,207,194,178,157,128,93,70,78,62,99,89,73,58,46
391,"K074 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" КАРБОН ATN1083 (5)",300200472_,шт,182,94,48,754,1800,1560,1283,1568,1317,1150,971,755,1220,1041,866,1562,1510,1421,1266,1187,1045,995,968,873,708,687,588,493,424,266,204,162,142
392,"K075 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" КАРБОН ATN1061 (5)",300200462_,шт,162,93,10,727,1756,1447,1188,1599,1363,1219,988,805,930,753,709,863,1232,1099,1004,932,788,656,590,536,443,408,386,333,301,254,198,170,144
393,"K076 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" КАРБОН ATN1063 (2)",300200517_,шт,6,6,,,25,11,11,59,31,30,29,29,34,30,30,34,34,34,34,28,28,28,26,26,26,26,26,26,26,26,26,26,26
394,"K077 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"", КАРБОН -  ATN1071 (2)",020100162_,шт,95,73,185,148,490,458,359,345,257,236,191,178,232,199,157,308,284,230,213,203,189,186,182,161,162,147,153,130,127,88,80,75,52
395,"K0777 Перекрест. перекл. 2 кл 10А с/у б/рамки мех. ""ATLAS"" КАРБОН ATN1073   (5) NEW",300200772_,шт,,,,,,488,375,317,258,234,174,241,264,192,198,363,347,334,319,306,290,282,278,271,260,248,227,222,219,206,197,187,180
396,"K078 Роз. 2-ная с/у 16А ""ATLAS"" КАРБОН ATN1020 (6)",300200468_,шт,12,4,1035,1005,1355,1307,1157,1122,983,810,689,651,835,822,755,760,834,800,670,552,433,347,340,390,361,336,274,267,308,176,163,133,159
397,"K079 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" КАРБОН ATN1026 (6)",300200515_,шт,2,5,832,1463,1682,1324,1179,1152,953,707,543,649,929,779,594,1424,1267,1123,896,755,675,579,523,464,542,513,411,370,369,309,293,186,198
398,"K080 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" КАРБОН ATN1085 (5)",300200518_,шт,1,11,92,76,130,124,88,107,43,41,42,103,170,161,105,139,126,144,107,158,146,124,82,112,103,89,87,30,107,82,53,60,50
399,"K081 Роз. с з/к 16А с/у з/ш ""ATLAS"" КАРБОН ATN1044 (5)",300200516_,шт,160,39,943,256,1182,1110,1051,2479,2423,2241,2086,1889,1615,1550,1496,1573,1320,1264,1175,1057,964,913,808,775,525,478,346,278,403,323,311,306,302
400,"K082 ТV роз. оконечная с/у б/рамки ""ATLAS"" КАРБОН ATN1091",300200471_,шт,134,2,49,8,484,443,423,421,408,393,377,371,363,344,328,320,279,302,262,249,228,219,217,193,190,189,187,186,178,178,178,160,145
401,"K083 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" КАРБОН ATN1081",300200470_,шт,17,2,2,22,49,49,48,67,54,44,24,32,55,55,45,45,45,45,40,40,40,40,39,39,39,34,34,34,34,34,34,34,34
402,"K084 Рамка 1-ая ""ATLAS"" КАРБОН ATN1001 (10)",300200463_,шт,751,156,5556,9905,15152,12243,9140,14500,12772,11038,8966,7731,10895,9344,8307,10297,13885,12707,11470,10418,9286,8317,7749,6695,5229,4754,3937,3281,3105,2453,1903,1376,1469
403,"K085 Рамка 2-ая ""ATLAS"" КАРБОН ATN1002 (5)",300200464_,шт,713,407,3864,6586,8148,7222,5561,6860,5586,4296,3638,3783,5238,4618,3934,4896,7110,6341,5945,5464,4786,4119,3757,3300,2699,2157,1605,1682,1758,1183,887,1048,757
404,"K086 Рамка 3-ая ""ATLAS"" КАРБОН ATN1003 (15)",300200465_,шт,357,201,1740,2988,3776,3350,2614,3323,2722,2297,1790,1546,2415,2053,1798,2275,3249,2978,2802,2544,2286,2071,1889,1720,1447,1320,1193,1023,783,586,370,436,398
405,"K087 Рамка 4-ая ""ATLAS"" КАРБОН ATN1004",300200466_,шт,5,,706,1255,1432,1249,890,1036,736,672,601,624,875,780,682,1451,1372,1321,1231,1171,1031,879,734,684,630,597,500,470,423,313,282,229,248
406,"K088 Рамка 5-ая ""ATLAS"" КАРБОН ATN1005",300200467_,шт,36,,,191,397,343,260,301,253,206,157,188,274,237,214,332,304,291,276,265,220,214,199,168,134,132,116,103,70,53,46,45,76
407,"K089 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" КАРБОН ATN1065 (5)",300200519_,шт,153,45,898,1724,1746,1466,1234,1526,1329,1190,1070,910,740,645,568,616,1027,949,877,802,692,586,545,509,458,405,355,294,265,227,157,158,113
408,"K090 Диммер повортно нажимной мех. LED RC 400Вт ""ATLAS"" КАРБОН ATN1023 (1) NEW",300200775_,шт,,,,,,29,26,25,21,30,27,28,27,23,23,3,3,23,23,23,23,23,22,12,8,12,12,14,14,14,14,14,14
409,"K091 Выкл. AQUA 2 кл IP44 мех. ""ATLAS"" КАРБОН ATN441051   (5) NEW",300200781_,шт,,,,,,50,50,50,49,48,44,37,37,37,35,34,34,34,33,33,33,33,33,27,24,24,24,20,20,20,20,20,19
410,"K093 Роз. AQUA с з/к с ш/т 16А с крышкой IP44 механизам ""ATLAS"" КАРБОН ATN441046 (10) NEW",300200779_,шт,,,,,,392,125,561,461,480,442,402,414,413,373,440,406,368,339,332,253,211,161,114,99,85,127,125,141,99,88,90,84
411,"K094 Рамка 1-ная AQUA IP44 ""ATLAS"" КАРБОН ATN441001     (10) NEW",300200782_,шт,,,,,,400,397,387,376,376,369,348,345,336,328,324,320,316,307,307,282,262,236,229,213,213,213,210,210,205,201,196,192
412,"K095 Рамка 2-ная AQUA IP44 ""ATLAS"" КАРБОН ATN441002     (5) NEW",300200783_,шт,,,,,,100,99,98,96,95,94,91,89,89,84,81,83,83,80,80,64,57,57,48,48,47,47,35,28,27,27,28,23
413,"S197 Рамка 1-ная   ""Wessen 59"" (90) !!!",300100015_,шт,108,108,108,78,74,74,74,75,48,48,48,48,48,48,48,48,48,116,116,96,96,96,91,,,,,,,,,,
414,"S198 Рамка 2-ная   ""Wessen 59"" (60) !!!",300100006_,шт,165,164,164,160,160,157,155,313,313,310,309,309,309,309,309,309,309,425,423,474,474,474,468,,,,,,,,,,
415,"S199 Рамка 3-ная ""Wessen 59"" (15/60) !!!",300100003_,шт,241,238,238,237,237,228,202,203,203,201,201,201,201,201,200,200,200,276,275,352,352,352,352,,,,,,,,,,
416,"S200 Рамка 4-ная  ""Wessen 59"" (15/60) !!!",300100012_,шт,10,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,18,18,18,18,,,,,,,,,,
417,"S231 1кл с/у. 6А IP20 ""Прима"" ВС 16-057-б (96) !!!",030200006_,шт,,,,,,,,6,6,6,6,6,6,,,,,2,101,93,67,,,,2,2,2,2,1,1,1,1,1
418,"S232 2кл с/у. 6А IP20 ""Прима"" ВС 56-043-б (96) !!!",030200008_,шт,,,,,,,,,,,,,,,,,,3,181,181,146,99,72,38,6,,,,,,,,
419,"S233 1кл. инд.с/у 6А IP20 ""Прима"" ВС 16-053-б (96) !!!",030200005_,шт,151,148,140,133,131,128,126,655,655,655,655,655,654,650,650,650,646,646,740,771,771,753,742,740,441,430,428,423,419,419,388,378,361
420,"S234 2кл.инд.с/у 6А IP20 ""Прима"" ВС 56-039-б (96) !!!",030200007_,шт,52,46,43,40,39,32,29,585,585,585,585,585,585,570,570,570,570,572,665,707,707,705,704,702,161,161,161,161,161,161,118,117,116
421,"S235 с/у 10А IP20  ""Прима"" РС 10-184-б (99) !!!",030200013_,шт,1,1,1,1,1,1,1,54,54,54,54,54,54,51,51,51,51,51,51,375,375,375,375,375,323,323,323,323,323,323,323,323,323
422,"S236 с/у з/к.з/ш.16А IP20 ""Прима"" РС 16-004-б (81) !!!",030200015_,шт,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,7,11,5,5,5,1,5,4,4,4,4,3,3,3,3,3
423,"S238 2-я с/у.з/к.з/ш 16А IP20 ""Прима"" РС 16-212-б (68)  !!!",030200016_,шт,,,,,,,,65,65,65,65,65,65,65,65,65,65,70,70,70,70,70,70,70,62,62,62,62,62,62,62,62,62
424,"S239 1кл о/у. 6А IP20  ""Прима"" ВА 16-051-б (130) !!!",030200002_,шт,,,,,,,,,,,,,,,,,,,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3
425,"S242 2кл.инд  о/у 6А IP20  ""Прима"" ВА 56-007-б (130) !!!",030200003_,шт,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,131,116,108,107,94,91,88,84,84,81,72,66,19,14,4
426,"S243 о\у 10А IP20  ""Прима"" РА 10-164-б (168) !!!",030200009_,шт,,,,,,,,,,,,,,,,,,1,1,20,6,1,1,1,2,2,2,2,2,2,2,2,2
427,"S244 о/у з/к.з/ш 16А IP20 ""Прима"" РА 16-003/1-б (111)",030200011_,шт,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
428,"S245 2-я.о/у 10А IP20 ""Прима"" РА 16-213-Iб (112) !!!",030200266_,шт,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
429,"S245 2-я.о/у 10А IP20 ""Прима"" РА 16-213-б (112)",030200010_,шт,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,44,44,44
430,"S246 2-я о\у.з/к.з/ш 16А IP20 ""Прима"" РА 16-214-б (84)",030200012_,шт,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8
431,"S247 4-я.о/у.з/к.з/ш 16А IP20 ""Прима"" РА 16-411М-б (22) !!!",030200075_,шт,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,221,1,1,1,1,1,1,1,1,1
432,"S248 с/у. 6А IP20 ""ХИТ"" ВС 16-133-б (96) !!!",030200030_,шт,832,667,799,858,2424,3747,2745,2755,2685,2661,70,721,2557,571,488,1,1,1,1,1,1,1,,,,,,,,,1200,,
433,"S249 2кл. с/у. 6А IP20 ""ХИТ"" ВС 56-234-б (96)  !!!",030200031_,шт,1005,989,959,828,587,1339,1107,1287,1262,2675,412,387,357,283,234,1,1,1,1,1,1,1,,192,,,,,,,960,,
434,"S250 с/у 10А IP20  ""ХИТ"" РС 10-132-б / 10-135-б (114)  !!!",030200036_,шт,1582,1027,989,948,1025,1321,957,2755,2715,777,731,671,1740,694,570,1,1,1,1,1,1,1,,,,,,,,,120,,
435,"S251 с/у.з/к 16А  IP20  ""ХИТ"" РС 16-134-б (81) !!!",030200038_,шт,496,452,404,604,760,1976,2499,3541,3511,3825,476,1266,1216,1194,1063,1033,191,1,1,1,1,1,,,10,10,,,,,,,
436,"S252 2-я с/у 10А IP20  ""ХИТ""  РС 16-235-б / 16-230-б (80) !!!",030200037_,шт,2040,1183,888,550,2422,2303,2250,2231,6641,2471,611,401,2891,321,271,1,1,1,1,1,1,1,1601,4,1,1,1,1,1,1,2401,1,1
437,"S253 2-я с/у.з/к 16А IP20 ""ХИТ"" РС 16-236-б  (68) !!!",030200039_,шт,920,681,788,676,1725,2481,2431,2537,2526,2500,1297,1286,1272,1842,318,63,53,,,,,,,,53,51,51,36,36,,,,
438,"S254 о/у. 6А IP20  ""ХИТ"" ВА 16-131-б (168) !!!",030200028_,шт,52,1,1457,2921,4508,4408,4351,4260,4043,5574,2053,1908,3566,1698,1610,1559,1,1,1,1,1,1,841,1,1,1,1,1,1,1,1601,1,1
439,"S255 2кл.о/у. 6А IP20 ""ХИТ"" ВА 56-232-б (168) !!!",030200029_,шт,9,7,482,950,1324,1312,1312,2634,2609,2588,2569,2495,2482,2470,2470,2455,2446,1,1,1,1,1,,,9,9,9,9,9,,,,
440,"S256 о/у.10А IP20  ""ХИТ"" РА 10-131-б (168) !!!",030200032_,шт,825,752,397,365,921,906,866,2138,2110,2104,2072,2037,1753,1721,1678,1594,1597,1,1,1,1,1,,,,,,,,,200,,
441,"S257 о/у. з/к 16А IP20  ""ХИТ""  РА 16-133-б (132) !!!",030200034_,шт,470,55,1185,1525,2751,2621,2838,3126,2966,2868,2780,2579,2601,2524,2340,2229,2091,1,1,1,1,1,,,119,119,99,67,67,,,,
442,"S258  2-я.о/у. 10А IP20 ""ХИТ"" РА 16-237I-б / РА 16-233I-б (112) !!!",030200239_,шт,3088,1810,1708,1656,4056,3998,3946,3826,3544,1550,718,581,2752,285,190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2657,1
443,"S259 2-я. о/у.з/к.16А IP20 ""ХИТ"" РА 16-238I-б (84) !!!",030200240_,шт,2075,89,2094,2476,5293,4980,4901,4483,4398,4027,3897,3663,4378,3182,2249,75,75,1,1,1345,1,1,421,1,24,23,13,8,8,961,1921,1,1
444,"S263 кнопка звонка IP20 ""Wessen"" А10-4-011 !!!",030200076_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,S264 РП-1 (Розетка потолочная до15кг)  (180),030200060_,шт,,,,,,,,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
446,"S265 2кл инд с/у 10A ""Wessen 59"" BC 510-251-1-86 (10/60) !!!",030200372_,шт,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
447,"S266 1кл с/у инд 10А ""Wessen 59"" ВС 110-153-18 (10/60) !!!",030200379_,шт,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,10,10,10,10,10,9,,,,,,,,,,
448,"S269 2кл.с/у.инд. 6А IP20 ""Рондо"" ВС 56-051-би (15/90) !!!",030200042_,шт,,,,,,,,47,47,47,47,47,47,38,38,38,38,38,38,38,38,38,38,38,,,,,,,,,
449,"S271 1кл Перекл. с/у, с индик. 6А""Рондо"" ВС 66-004-би (15/90) !!!",030200105_,шт,,,,,,,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,,,,,,,,
450,"S273 с/у. 10А  IP20 ""Рондо"" РС 10-185-би (15/90) !!!",030200045_,шт,,,,,,,,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,,,,,,,,
451,"S276 с/у.з/к.з/ш. 16А IP20 ""Рондо"" РС 16-121-би (12/72) !!!",030200047_,шт,,,,,,,,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,,,,,,,,
452,"S280 с/у.телефонная ""Рондо"" РТ-4С-би (18/108) !!!",030200062_,шт,,,,,,,,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,,,,,,,,,
453,"S283 о/у. 6А IP44 ""Рондо"" ВА 66-102Б-би переключатель (10/60) !!!",030200026_,шт,502,261,44,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,4,4,4
454,"S284 2кл. о/у 6А IP44  ""Рондо"" ВА 56-225Б-би (10/60) !!!",030200025_,шт,81,70,8,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
455,"S285 с/у.з/к.з/ш 16А IP44 ""Рондо"" РС 16-126Б-би (10/60) !!!",030200027_,шт,107,99,95,110,110,91,91,91,90,90,45,45,45,45,45,45,45,45,38,33,33,27,27,26,26,26,26,26,26,23,21,21,21
456,"S286 о/у.з/ш. 10А IP44 ""Рондо"" РА 10-125Б-би (12/72) !!!",030200052_,шт,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
457,"S287 о/у.з/к.з/ш.16А IP44 ""Рондо"" РА 16-112Б-би (10/60) !!!",030200053_,шт,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
458,"S288 2-я.о/у. з/к.з/ш 16А IP44 ""Рондо"" РА 16-227Б-би (5/30) !!!",030200054_,шт,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,18,18,18,18,18,18
459,"S296  Розетка с/у, з/к, з/ш ЭТЮД (120) РС16-004В!!!",030200184_,шт,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,,,,,,
460,"S297  Розетка  2-ая с/у, з/ш ЭТЮД (120) РС16-006В !!!",030200183_,шт,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
