Номенклатура,Номенклатура.Код,Артикул,Кратность,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
"А385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" алюминий ATN313  (10)",300200443_,ATN000313,10,10,3,10,30,10,30,5,8,26,16,10,-25,1,20,4,,30,11,,5,24,3,22,11,,,,39,,,,-10,,293
"А386 Выкл 2 кл 10А с/у ""ATLAS"" алюминий ATN352 (10)",300200432_,ATN000352,10,53,40,5,94,61,17,12,27,8,26,28,-12,23,27,39,5,57,11,7,13,39,11,13,46,10,1,4,9,5,4,21,9,2,715
"А387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" алюминий ATN353 (10)",300200444_,ATN000353,10,5,1,9,42,,4,3,2,13,18,6,-15,,,4,,40,,,,10,,3,,,,,10,,,,-8,,147
"А388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN331 (10)",300200449_,ATN000331,10,11,2,1,7,19,1,1,4,12,13,2,-5,,15,,1,18,-1,17,3,11,2,3,,,,,1,,4,,-8,,134
"А389 Диммер поворотно-нажимной с/у б/рамки 315Вт ""ATLAS"" алюминий ATN334 (1) !!!",300200447_,ATN000334,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
"А390 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" алюминий ATN383 (10)",300200433_,ATN000383,5,4,17,29,31,39,24,37,9,10,24,33,12,15,51,30,6,23,-1,3,-11,30,7,4,22,2,1,1,26,1,4,1,1,,485
"А391 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN361 (10)",300200439_,ATN000361,10,10,14,10,42,34,12,20,21,47,27,18,-12,12,9,,18,26,3,20,7,10,,6,18,10,10,16,,13,4,5,13,,443
"А392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" алюминий ATN363  (10)",300200451_,ATN000363,10,5,,,,,2,7,,,,,-5,1,,,,,,,,17,,,,,,,,,,,,,27
"А393 Перекрест. переключ. 1 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN371 (5)",300200448_,ATN000371,5,7,,9,,,,4,,11,3,,-11,,,2,,1,,5,,6,,,,,,1,,,1,,-7,,32
"А3933 Перекрест. переключ. 2 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN373 (5) NEW",300200774_,ATN000373,5,,,,,,,1,11,,,,,,,2,1,,,1,,2,,2,,,,1,,,1,,2,,24
"А394 Роз. 2-ная с/у 16А ""ATLAS"" алюминий ATN320 (6)",300200436_,ATN000320,6,19,159,52,12,44,94,140,40,75,75,72,33,26,61,23,62,201,68,72,36,23,128,45,75,62,38,71,32,24,40,5,,22,1929
"А395 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" алюминий ATN326 (6)",300200431_,ATN000326,6,5,67,12,11,34,18,5,24,9,101,57,5,14,14,42,61,22,10,4,24,54,,37,31,27,,16,10,6,22,17,4,12,775
"А396 Роз. 2-ная с/у 16А с з/к з/ш со сдвиж.крыш.""ATLAS"" алюминий ATN328 (6)",300200452_,ATN000328,6,6,,,,1,,1,,,,2,-2,,,,,,,5,,2,2,,,,,,6,,1,-2,,,22
"А397 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" алюминий ATN385 (10)",300200434_,ATN000385,5,6,6,,,11,,12,7,13,6,5,5,,8,,,10,48,,,1,25,16,9,3,,1,,2,14,,-14,,194
"А399 Роз. с з/к 16А с/у з/ш ""ATLAS"" алюминий ATN344 (10)",300200429_,ATN000344,10,36,,1,34,182,18,63,52,12,106,94,53,4,,81,44,14,39,1,1,81,9,1,10,55,8,25,,20,8,31,,7,1090
"А3999 Роз. без з/к без шторок 16А механизм ""ATLAS"" алюминий ATN341 (10)",300200632_,ATN000341,10,40,5,70,70,20,38,62,79,58,16,71,36,10,60,50,41,110,133,-25,34,15,100,48,27,12,3,,25,64,42,,95,10,1419
"А401 ТV роз. оконечная с/у б/рамки ""ATLAS"" алюминий ATN391(10)",300200441_,ATN000391,10,,2,12,,25,7,,2,,2,1,-2,,,7,,8,-3,,1,4,,1,,,,,50,,2,,1,,120
"А402 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" алюминий ATN381 (10)",300200450_,ATN000381,10,5,7,8,,20,1,1,,,,,-11,,,,1,,,,,,,,,,,,1,,,,,,33
"А405 Рамка 1-ная ""ATLAS"" алюминий ATN301 (20)",300200435_,ATN000301,20,150,150,214,151,502,335,369,362,434,276,305,306,200,416,170,89,538,249,214,105,280,351,141,316,275,100,224,161,19,157,98,18,33,7708
"А406 Рамка 2-ная ""ATLAS"" алюминий ATN302 (10)",300200437_,ATN000302,10,111,104,6,103,167,107,118,183,83,61,196,126,135,76,90,29,259,90,72,36,186,32,64,31,52,20,66,53,43,61,36,19,14,2829
"А407 Рамка 3-ная ""ATLAS"" алюминий ATN303 (15)",300200438_,ATN000303,5,27,67,15,51,81,40,56,27,56,34,40,38,28,43,90,36,39,39,32,25,78,29,57,123,5,18,25,40,25,33,10,12,4,1323
"А408 Рамка 4-ная ""ATLAS"" алюминий ATN304 (15)",300200440_,ATN000304,5,20,15,,47,36,12,32,7,33,19,5,-9,20,21,15,17,27,61,15,2,42,44,13,11,1,4,5,15,3,27,11,-2,11,580
"А409 Рамка 5-ная ""ATLAS"" алюминий ATN305 (5)",300200445_,ATN000305,5,5,3,,15,12,2,3,1,12,8,,-14,4,1,1,-30,12,,3,3,7,,1,1,,9,,1,,3,1,-7,,57
"А414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN365 (10)",300200446_,ATN000365,10,,,10,11,48,16,16,2,14,5,2,-7,12,30,1,8,12,20,21,4,29,,10,,,,4,25,8,4,,,,305
"ВЫВОД КАБЕЛЯ, механизм ""ATLAS"" алюминий ATN399 !!!",ATN000399,ATN000399,10,,,,,,,,,,,,,,,,,2,,,4,,,21,,1,,,,,,,,,28
"Выкл 1-кл, сх.1, 10АХ, механизм, шампань ""ATLAS""",300200592_,ATN000511,10,,,4,10,183,96,184,194,158,237,111,171,112,130,93,174,98,71,190,89,149,68,93,159,24,31,68,236,41,66,46,87,47,3420
Выкл 2 кл 10А механизм жемчуг ATN000451,300200366_,ATN000451,10,,20,30,,50,38,50,45,89,,10,28,10,43,47,46,44,68,19,3,13,3,,,,,,1,12,26,24,,9,728
Выкл 2 кл о/у 10А 250B белый BLANCA,LNVA105011,BLNVA105011,15,,,,,10,3,,56,,26,1,,,20,,15,,10,1,2,10,10,,20,2,1,,1,2,20,,2,,212
"Выкл 2-кл, сх.5, 10АХ, механизм, сталь ""ATLAS""",300200595_,ATN000951,5,,,,,16,10,18,,27,46,10,23,,3,,52,10,7,12,6,49,13,13,22,,3,1,2,22,,9,16,11,401
"ВЫКЛЮЧАТЕЛЬ ""ХИТ""СУ 1КЛ. ИБЕЛ. VS16-135-B Shn.Elec. !!!",030200097_,VS16-135-B,20,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
К090 Роз. с з/к 16А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1243 (5),300200718_,ATN001243,5,,175,128,556,340,391,350,230,236,237,416,464,476,946,256,256,761,548,242,508,390,308,141,350,105,310,268,585,221,303,192,348,236,11273
К091 Роз. с з/к с з/ш 16А механизм ATLAS ПЕСОЧНЫЙ ATN1245 (5),300200719_,ATN001245,5,4,,,41,,,2,71,29,3,15,42,30,27,9,20,10,,,,8,112,-50,20,26,44,11,,15,18,,,26,533
К092 Выкл 1 кл 10А с/у ATLAS ПЕСОЧНЫЙ ATN1212 (5),300200720_,ATN001212,5,,31,11,58,110,43,54,49,32,16,65,39,25,73,15,52,23,14,36,8,15,41,47,41,50,25,,12,,53,25,50,6,1119
К093 Выкл 1 кл с инд 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1213,300200721_,ATN001213,5,,2,,1,,5,,,,,10,,,3,,20,,11,,,,,9,8,1,,10,6,5,5,,2,,98
К094 Выкл 2 кл 10А с/у ATLAS ПЕСОЧНЫЙ ATN1252 (5),300200722_,ATN001252,5,,11,12,74,26,10,56,11,8,25,28,15,15,40,18,17,17,36,12,14,20,12,,32,18,15,,2,,11,27,42,1,625
"К0944 Выкл. 2 кл 10А б/рамки ""ATLAS"" ПЕСОЧНЫЙ ATN1251 (5) NEW",300200777_,ATN001251,5,,,,,23,35,86,19,13,36,63,111,39,126,67,72,41,60,79,46,55,16,41,19,8,25,18,59,52,43,13,26,38,1329
К095 Выкл 2 кл с инд 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1253,300200723_,ATN001253,5,18,,,5,,5,,1,,,,,,,,,,3,,,,,,8,4,,,,,2,,5,1,52
К096 Выкл 3 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1231 (5),300200724_,ATN001231,5,,5,2,3,1,,11,,7,11,2,11,6,1,,12,12,8,3,1,2,1,,6,,,2,6,10,4,,4,1,132
К097 Комп. роз. RJ45 5Е механизм б/рамки ATLAS ПЕСОЧНЫЙ ATN1283 (5),300200725_,ATN001283,5,7,11,7,27,7,17,14,10,5,11,11,25,7,50,2,16,20,27,10,9,11,3,,10,4,12,10,31,2,2,11,38,6,433
К098 Переключ. 1 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1261 (5),300200726_,ATN001261,5,8,13,8,30,8,22,11,18,21,31,32,19,2,31,16,5,34,24,15,35,34,16,28,15,13,15,,19,5,14,60,19,12,633
К099 Переключ. 1 кл с инд 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1263,300200727_,ATN001263,5,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9
К100 Перекрест.переключ. 1 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1271 (5),300200728_,ATN001271,5,,2,1,15,4,4,,2,,10,,1,1,8,,10,,5,,1,4,,5,3,,4,,1,6,8,4,5,1,105
К101 Роз. 2-ная с/у 16А ATLAS ПЕСОЧНЫЙ ATN1220 (6),300200729_,ATN001220,6,,8,1,22,6,7,5,30,,41,20,10,6,27,19,45,,12,10,12,38,10,62,11,6,30,8,20,11,48,17,13,3,558
К102 Роз. 2-ная с/у 16А с з/к з/ш ATLAS ПЕСОЧНЫЙ ATN1226 (6),300200730_,ATN001226,6,1,12,2,14,14,30,10,2,10,25,29,7,24,50,18,82,,24,24,,18,3,48,35,6,4,24,16,10,20,9,27,10,608
К103 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ATLAS ПЕСОЧНЫЙ ATN1285 (5),300200731_,ATN001285,5,3,,,,3,1,2,1,2,1,2,1,,1,,,5,2,,,,,,4,,1,,,,,,2,,31
К104 Роз. с з/к 16А с/у з/ш ATLAS ПЕСОЧНЫЙ ATN1244 (5),300200732_,ATN001244,5,,,,15,48,7,26,38,6,22,9,1,2,1,,,,4,1,3,5,,,7,32,,10,5,,19,2,7,,270
"К1044 Роз. без з/к без с/ш 16А б/рамки ""ATLAS"" ПЕСОЧНЫЙ ATN1241 (5) NEW",300200778_,ATN001241,5,,,,,32,26,43,15,23,,88,52,,,63,6,11,10,40,73,35,,124,,75,,12,6,,1,15,12,7,769
К105 ТV роз. оконечная с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1291 (5),300200733_,ATN001291,5,-1,,,5,12,2,1,7,6,10,15,,,5,4,5,,10,3,5,,,,2,1,2,4,4,,1,,2,4,109
К106 Телефонная роз. RJ11 механизм б/рамки ATLAS ПЕСОЧНЫЙ ATN1281 (5),300200734_,ATN001281,5,,,,2,1,1,,,,,,,,,1,,,,,,,1,,,1,,,,,1,,,,8
К107 Рамка 1-ная ATLAS ПЕСОЧНЫЙ ATN1201 (10),300200735_,ATN001201,10,9,57,42,227,108,155,358,161,58,157,371,321,304,260,212,149,324,251,247,174,291,52,356,109,39,121,242,150,210,216,68,356,229,6384
К108 Рамка 2-ная ATLAS ПЕСОЧНЫЙ ATN1202 (5),300200736_,ATN001202,5,4,55,23,144,134,101,126,50,79,62,106,103,69,270,102,105,203,110,83,113,80,112,65,107,23,112,84,156,35,71,57,72,87,3103
К109 Рамка 3-ная ATLAS ПЕСОЧНЫЙ ATN1203 (5),300200737_,ATN001203,5,,15,6,62,41,39,64,23,40,60,37,71,44,89,52,92,49,50,27,45,48,22,5,61,9,31,39,70,29,34,38,31,22,1345
К110 Рамка 4-ная ATLAS ПЕСОЧНЫЙ ATN1204 (5),300200738_,ATN001204,5,3,6,5,25,18,6,11,14,5,22,16,10,19,23,4,17,50,24,21,36,11,8,,20,1,10,13,16,19,12,17,23,6,491
К111 Выкл 1-кл о/у IP54 10А Atlas Profi 54 БЕЛЫЙ ATN540111 (12),300200742_,ATN540111,12,8,5,37,69,20,125,132,89,134,136,211,40,15,138,78,70,101,60,56,44,83,138,160,121,97,101,40,62,53,104,37,197,59,2820
К111 Рамка 5-ная ATLAS ПЕСОЧНЫЙ ATN1205 (5),300200739_,ATN001205,5,1,2,4,5,4,1,7,3,1,13,4,2,,7,2,8,5,2,6,2,2,1,2,,,4,,3,,,1,,1,93
К112 Выкл 2-кл о/у IP54 10А Atlas Profi 54 БЕЛЫЙ ATN540151 (12),300200743_,ATN540151,12,,,,25,6,11,6,6,50,27,3,5,4,17,37,8,13,30,25,14,26,10,18,41,34,32,15,20,18,21,12,24,7,565
К112 Переключ. 2 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1265 (5),300200740_,ATN001265,5,8,,4,16,20,14,25,8,3,14,2,36,17,27,5,46,16,36,30,-15,11,6,17,11,9,30,2,24,20,17,7,11,2,479
К113 Выкл 1-кл сх.1 10АХ механизм ПЕСОЧНЫЙ ATLAS ATN1211 (5),300200741_,ATN001211,5,,2,,62,23,8,125,51,15,71,44,85,40,58,70,58,100,110,39,86,118,50,14,15,7,22,9,77,54,78,45,23,83,1642
К113 Роз. з/к з/ш о/у IP54 16А 250В Atlas Profi 54 БЕЛЫЙ ATN540145 (12),300200744_,ATN540145,12,17,39,61,57,63,124,183,181,195,104,117,89,22,119,103,68,89,158,98,99,82,269,72,64,58,96,87,76,285,162,70,202,289,3798
К114 Роз. 2-я з/к о/у IP54 16А Atlas Profi 54 БЕЛЫЙ ATN540126 (6),300200745_,ATN540126,6,47,23,6,8,195,41,104,35,161,84,39,58,32,79,96,112,58,52,101,136,96,70,173,77,30,78,61,87,86,50,53,101,120,2549
К115 Перекл 1-кл о/у IP54 Atlas Profi 54 БЕЛЫЙ ATN540161 (12),300200746_,ATN540161,12,33,16,8,40,29,30,18,44,39,111,47,55,56,34,47,22,119,39,67,72,54,89,103,147,70,46,68,60,108,196,78,59,92,2096
"К116 Роз,Выкл.2-кл з/к з/ш о/у IP54 16А Atlas Profi 54 БЕЛЫЙ ATN540174 (6)",300200747_,ATN540174,6,1,,,1,4,3,3,1,1,1,2,,,1,1,,1,1,1,,7,1,,,,1,,1,,,,1,21,54
"К117 Роз,Выкл.1-кл з/к з/ш о/у IP54 16А Atlas Profi 54 БЕЛЫЙ ATN540170 (6)",300200748_,ATN540170,6,1,,,1,6,8,21,4,,5,10,1,2,1,1,4,4,6,1,9,10,9,1,1,1,1,2,,1,9,2,1,2,125
К118 Выкл 1-кл о/у IP54 Atlas Profi 54 АНТРАЦИТ ATN544011 (12),300200749_,ATN544011,12,39,11,22,34,67,36,95,104,39,48,46,24,28,42,36,41,62,49,128,43,43,28,93,52,24,19,29,51,14,55,55,56,53,1566
К119 Выкл 2-кл о/у IP54 Atlas Profi 54 АНТРАЦИТ ATN544051 (12),300200750_,ATN544051,12,7,10,23,36,48,18,31,25,16,22,20,20,3,18,10,31,30,14,26,20,35,18,24,14,5,2,19,23,24,8,12,25,37,674
К120 Роз. з/к з/ш о/у IP54 16А 250В Atlas Profi 54 АНТРАЦИТ ATN544045 (12),300200751_,ATN544045,12,28,28,12,23,98,31,96,86,91,152,69,86,41,67,65,54,126,45,98,56,41,83,165,91,56,33,38,103,78,138,63,164,60,2465
К121 Роз. 2-я з/к о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544026 (6),300200752_,ATN544026,6,52,74,14,27,106,53,152,135,204,65,69,147,32,84,119,38,58,107,63,60,91,96,45,147,69,52,30,56,32,81,50,101,68,2577
К122 Перекл 1-кл о/у IP54 Atlas Profi 54 АНТРАЦИТ ATN544061 (12),300200753_,ATN544061,12,3,12,5,12,9,9,20,8,9,6,7,17,4,2,29,16,45,13,22,17,37,25,34,45,12,4,20,20,16,56,24,13,5,576
К123 Блок:Роз+выкл 2-кл з/к з/ш о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544074 (6),300200754_,ATN544074,6,4,,1,5,1,4,2,6,4,3,8,4,,1,,6,7,11,7,1,13,3,4,4,1,,,3,1,4,5,5,8,126
К124 Блок:Роз+выкл 1-кл з/к з/ш о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544070 (6),300200755_,ATN544070,6,5,,,3,1,2,7,3,14,5,7,3,3,9,2,3,5,9,10,17,8,19,4,4,12,3,1,9,9,13,8,3,3,204
"КОРОБКА МОНТАЖН.С / У Д / СИЛ.РОЗЕТОК, ЗЕЛЕН",300200497_,BLNMK000001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6
Распределительная  коробка о/у  с сальниками  65х45 IP55 IMT35093 Systeme Electric (150),030200226_,IMT35093,150,20,1,30,197,551,44,223,369,373,544,60,118,1325,231,265,177,30,44,19,149,10,228,77,307,176,222,98,200,35,2,4,189,76,6394
Распределительная  коробка о/у  с сальниками  70х70х40 IP55 IMT35090 Systeme Electric (96),030200223_,IMT35090,96,,53,372,1805,1513,857,1425,2503,2890,1100,1475,769,608,1248,1626,755,1276,659,1375,894,986,2235,1437,244,1163,1766,597,1092,339,510,641,969,746,35928
Распределительная  коробка о/у  с сальниками  80х40 IP55 IMT35094 Systeme Electric (96),030200227_,IMT35094,96,288,270,35,273,98,395,744,370,69,434,147,319,32,115,157,41,281,155,366,331,82,246,248,573,358,142,159,172,163,131,712,330,77,8313
Распределительная  коробка о/у  с сальниками  85х85х40 IP55 IMT35092 Systeme Electric (72),030200225_,IMT35092,72,275,120,403,1304,2845,1098,1332,1723,2447,1884,2808,1501,1536,1463,611,1011,968,1535,818,777,2648,1369,3541,715,1119,131,464,3164,1614,1940,1797,1778,1943,48682
Распределительная  коробка о/у  с сальниками 100х100х50 IP55 IMT35091 Systeme Electric (45),030200224_,IMT35091,45,1905,811,783,2655,2207,3014,3116,2156,4425,6432,3277,1683,3263,4090,2687,2457,3608,2529,3060,2794,2142,2209,1422,2041,2656,2117,1858,3325,1528,2836,3179,2076,1850,86191
Распределительная коробка с/у для полых стен г/к  80х45 IP20 IMT35160 Systeme Electric (120),030200221_,IMT35160,120,35,2362,1192,535,2003,2526,1987,2365,1130,3116,658,1073,1929,2137,2141,1710,1909,2086,851,1713,1184,1886,1538,593,2144,2164,2358,3003,2330,1434,941,547,674,54254
Распределительная коробка с/у для полых стен г/к 100х100х50 IP20 IMT35161 Systeme Electric (72),030200222_,IMT35161,72,3,519,580,643,719,1174,697,412,1056,1142,721,745,1166,835,443,1150,341,868,711,1541,836,737,222,700,388,542,243,576,244,445,640,313,226,21578
Роз. 2-ная с з/к 16А в сборе жемчуг ATLASDESIGN !!!,300200473_,ATN000424,6,,,,,,,,,3,,,1,4,,,,,,,,,,,,,,,,,,,,,8
Роз. с з/к  со з/ш с крышкой 16А IP20 механизм жемчуг ATLASDESIGN,ATN000446,ATN000446,10,,7,7,2,8,10,12,34,10,,8,7,3,6,,4,3,24,4,13,8,,1,6,5,,,7,2,5,1,,,197
"РОЗЕТКА двойная комп+ТВ, RJ45+TV, кат.5E, механизм""ATLAS"" алюминий ATN389 !!!",ATN000389,ATN000389,5,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,5
"Сжим У 731М  (4-10/1,5-10) SE (140)",130300026_,U731M,140,,36,100,453,154,174,1286,189,647,744,853,423,477,147,153,57,1010,125,239,920,270,264,104,949,147,212,,75,765,286,450,479,5,12193
"Сжим У 733M (16-35/1,5-10)  SE (140)",130300027_,U733M,140,351,276,408,773,225,1034,2931,626,580,661,697,61,41,1245,142,305,1024,185,494,849,1344,1479,420,176,689,207,65,94,105,2233,275,9,,20004
Сжим У 734М (16-35/16-25) SE (140),130300028_,U734M,140,203,591,50,186,290,1550,-1310,95,656,322,15,265,84,295,32,669,444,94,183,170,202,,100,524,-253,,95,182,30,,134,388,187,6473
Соединитель коробок IMT35150/IMT351501 Systeme Electric (900),030200203_,IMT35180,900,,50,99,1097,1290,162,1451,1640,1747,1662,2162,1967,1052,1387,1844,1132,1609,917,880,1683,1392,1336,791,1016,857,1330,2589,2790,1865,2840,6016,3840,2341,52834
Итого,,,,81510,45828,84360,141999,144157,149830,150114,174398,191905,168903,152093,120538,149440,146891,148187,161394,154000,167016,165921,158592,150771,157076,168264,139400,110872,122762,120964,149953,157428,175581,192321,181598,135899,4819965
