tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
6,27,5,1688,True,,leaf,,,False,0.011528348812496932,,[]
6,28,4,9224,True,,leaf,,,False,-0.0037760748777621992,,[]
7,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,12.0,False,0.0,0.375,[]
7,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.47745401269737914,1.0512417478780258,[]
7,2,2,22310,False,mean_6,mean_6 <= 0.166667,3.0,4.0,False,-0.5838709677419355,0.16666666666666666,[]
7,3,3,10648,True,,leaf,,,False,-0.015871302183948863,,[]
7,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.4886908841672378,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
7,5,4,1213,True,,leaf,,,False,-0.015871302183948863,,[]
7,6,4,10449,True,,leaf,,,False,-0.015871302183948863,,[]
7,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.19428911362284354,0.20833333333333331,[]
7,8,3,3247,True,,leaf,,,False,-0.015871302183948863,,[]
7,9,3,5148,False,month_sin,month_sin <= -0.25,10.0,11.0,True,-0.05544784800310198,-0.24999999999999997,[]
7,10,4,3279,True,,leaf,,,False,0.014128697816051142,,[]
7,11,4,1869,True,,leaf,,,False,-0.015871302183948863,,[]
7,12,1,55389,False,lag_2,lag_2 <= 0.409091,13.0,16.0,False,0.19529233379663893,0.4090909090909091,[]
7,13,2,15929,False,lag_1,lag_1 <= 0.126984,14.0,15.0,False,-0.037455298324863544,0.12698412698412698,[]
7,14,3,4885,True,,leaf,,,False,-0.015095909133472264,,[]
7,15,3,11044,True,,leaf,,,False,0.002265240023371476,,[]
7,16,2,39460,False,log_scale,log_scale <= 3.63209,17.0,24.0,True,0.28923232835064605,3.632088619767191,[]
7,17,3,25348,False,month_sin,month_sin <= -6.12323e-17,18.0,21.0,True,0.1844782711570313,-6.123233995736766e-17,[]
